[2015-06-17 21:53:41][3756][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 21:53:41][3756][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 21:53:41][3756][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 21:53:41][3756][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-17 21:53:45][3756][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 21:53:45][3756][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 21:53:45][3756][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 21:53:45][3756][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-17 21:53:45][3756][INFO]return successfully! | SQL[UPDATE `ys_channelinfo` SET `isvalid` = '0', `updatedate` = '2015-06-17 21:53:45' WHERE 1 AND  `channel_id` = '1' AND  `isvalid` = '1' ]
[2015-06-17 21:53:45][3756][INFO]return successfully! | excute time:19(ms) SQL[UPDATE `ys_channelinfo` SET `isvalid` = '0', `updatedate` = '2015-06-17 21:53:45' WHERE 1 AND  `channel_id` = '1' AND  `isvalid` = '1' ]
[2015-06-17 21:53:46][3756][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 21:53:46][3756][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 21:53:46][3756][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 21:53:46][3756][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-17 21:54:48][3756][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 21:54:48][3756][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 21:54:48][3756][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 21:54:48][3756][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-17 21:54:55][3756][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 21:54:55][3756][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 21:54:55][3756][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 21:54:55][3756][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-17 21:54:55][3756][INFO]return successfully! | SQL[UPDATE `ys_channelinfo` SET `isvalid` = '0', `updatedate` = '2015-06-17 21:54:55' WHERE 1 AND  `channel_id` = '2' AND  `isvalid` = '1' ]
[2015-06-17 21:54:55][3756][INFO]return successfully! | excute time:37(ms) SQL[UPDATE `ys_channelinfo` SET `isvalid` = '0', `updatedate` = '2015-06-17 21:54:55' WHERE 1 AND  `channel_id` = '2' AND  `isvalid` = '1' ]
[2015-06-17 21:54:55][3756][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 21:54:55][3756][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 21:54:55][3756][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 21:54:55][3756][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-17 21:55:01][3756][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 21:55:01][3756][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 21:55:01][3756][INFO]return successfully! | SQL[set names utf8]
